word,definition
rate,a magnitude or frequency relative to a time unit
rave,a dance party that lasts all night and electronically synthesized music is played
raze,tear down so as to make flat with the ground
razz,a cry or noise made to express displeasure or contempt
read,something that is read
real,any rational or irrational number
ream,a large quantity of written matter
reap,"gather, as of natural products"
rear,the back of a military formation or procession
rede,give an interpretation or explanation to
redo,make new
reed,tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites
reef,a submerged ridge of rock or coral near the surface of the water
reek,a distinctive odor that is offensively unpleasant
reel,a roll of photographic film holding a series of frames to be projected by a movie projector
reft,steal goods; take as spoils
reid,Scottish philosopher of common sense who opposed the ideas of David Hume (1710-1796)
rein,one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
reis,any rational or irrational number
reit,an investment trust that owns and manages a pool of commercial properties and mortgages and other real estate assets; shares can be bought and sold in the stock market
rely,have confidence or faith in
rend,tear or be torn violently
rent,"a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
repp,a fabric with prominent rounded crosswise ribs
reps,informal abbreviation of `representative'
resh,the 20th letter of the Hebrew alphabet
rest,something left after other parts have been taken away
rhea,fertility goddess in ancient Greek mythology; wife of Cronus and mother of Zeus; identified with Roman Ops and Cybele of ancient Asia Minor
rhus,"deciduous or evergreen shrubs and shrubby trees of temperate and subtropical North America, South Africa, eastern Asia and northeastern Australia; usually limited to nonpoisonous sumacs (see genus Toxicodendron)"
rial,the basic unit of money in Yemen; equal to 100 fils
rice,grains used as food either unpolished or more often polished
rich,people who have possessions and wealth (considered as a group)
rick,a painful muscle spasm especially in the neck or back (`rick' and `wrick' are British)
ride,a journey in a vehicle (usually an automobile)
rife,most frequent or common
riff,a Berber living in northern Morocco
rift,a gap between cloud masses
rile,"cause annoyance in; disturb, especially by minor irritations"
rill,a small stream
rima,a narrow elongated opening or fissure between two symmetrical parts
rime,ice crystals forming a white deposit (especially on objects outside)
rimu,tall New Zealand timber tree
rimy,covered with frost; ; -Wm.Faulkner
rind,the natural outer covering of food (usually removed before eating)
ring,a characteristic sound
rink,building that contains a surface for ice skating or roller skating
riot,a public act of violence by an unruly mob
ripe,fully developed or matured and ready to be eaten or used
rise,a growth in strength or number or importance
risk,a source of danger; a possibility of incurring loss or misfortune
rite,an established ceremony prescribed by a religion
rive,tear or be torn violently
road,an open way (generally public) for travel or transportation
roam,"move about aimlessly or without any destination, often in search of food or employment"
roan,a soft sheepskin leather that is colored and finished to resemble morocco; used in bookbinding
roar,a deep prolonged loud noise
robe,any loose flowing garment
rock,a lump or mass of hard consolidated mineral matter
rode,"sit and travel on the back of animal, usually while controlling its motions"
roil,be agitated
role,the actions and activities assigned to or required or expected of a person or group
rolf,Norse chieftain who became the first duke of Normandy (860-931)
roll,rotary motion of an object around its own axis
rome,capital and largest city of Italy; on the Tiber; seat of the Roman Catholic Church; formerly the capital of the Roman Republic and the Roman Empire
romp,an easy victory
rood,representation of the cross on which Jesus died
roof,a protective covering that covers or forms the top of a building
rook,(chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard
room,an area within a building enclosed by walls and floor and ceiling
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
rope,a strong line
ropy,of or resembling rope (or ropes) in being long and strong
rosa,large genus of erect or climbing prickly shrubs including roses
rose,any of many shrubs of the genus Rosa that bear roses
ross,Scottish explorer who led Arctic expeditions that yielded geographic discoveries while searching for the Northwest Passage (1777-1856)
rosy,reflecting optimism
rota,(Roman Catholic Church) the supreme ecclesiastical tribunal for cases appealed to the Holy See from diocesan courts
rote,memorization by repetition
roue,a dissolute man in fashionable society
rout,a disorderly crowd of people
rove,"move about aimlessly or without any destination, often in search of food or employment"
rube,a person who is not very intelligent or interested in culture
ruby,a transparent piece of ruby that has been cut and polished and is valued as a precious gem
ruck,a crowd especially of ordinary or undistinguished persons or things
rudd,European freshwater fish resembling the roach
rude,socially incorrect in behavior
ruff,an external body part consisting of feathers or hair about the neck of a bird or other animal
ruga,(anatomy) a fold or wrinkle or crease
ruin,an irrecoverable state of devastation and destruction
rule,a principle or condition that customarily governs behavior
rump,the part of an animal that corresponds to the human buttocks
rune,any character from an ancient Germanic alphabet used in Scandinavia from the 3rd century to the Middle Ages
rung,a crosspiece between the legs of a chair
runt,disparaging terms for small people
ruse,a deceptive maneuver (especially to avoid capture)
rush,the act of moving hurriedly and in a careless manner
rusk,slice of sweet raised bread baked again until it is brown and hard and crisp
russ,the medieval Russian state established by Scandinavian traders in the 9th century; the capital was first in Novgorod and then in Kiev
rust,a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
ruta,type genus of the Rutaceae; strong-scented Eurasian herbs
ruth,United States professional baseball player famous for hitting home runs (1895-1948)
saba,a island in the Netherlands Antilles that is the top of an extinct volcano
sack,a bag made of paper or plastic for holding customer's purchases
sade,French soldier and writer whose descriptions of sexual perversion gave rise to the term `sadism' (1740-1814)
safe,strongbox where valuables can be safely kept
saga,a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
sage,a mentor in spiritual and philosophical topics who is renowned for profound wisdom
sago,powdery starch from certain sago palms; used in Asia as a food thickener and textile stiffener
said,express in words
sail,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
sake,a reason for wanting something done
saki,British writer of short stories (1870-1916)
sale,a particular instance of selling
salp,minute floating marine tunicate having a transparent body with an opening at each end
salt,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal)
same,a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer
sand,a loose material consisting of grains of rock or coral
sane,mentally healthy; free from mental disorder
sang,North American woodland herb similar to and used as substitute for the Chinese ginseng
sank,fall or descend to a lower place or level
sard,a deep orange-red variety of chalcedony
sari,a dress worn primarily by Hindu women; consists of several yards of light material that is draped around the body
sash,a framework that holds the panes of a window in the window frame
sate,fill to satisfaction
saul,(Old Testament) the first king of the Israelites who defended Israel against many enemies (especially the Philistines)
save,(sports) the act of preventing the opposition from scoring
sawn,cut with a saw
saxe,a French marshal who distinguished himself in the War of the Austrian Succession (1696-1750)
scab,someone who works (or provides workers) during a strike
scad,any of a number of fishes of the family Carangidae
scam,a fraudulent business scheme
scan,the act of scanning; systematic examination of a prescribed region
scar,a mark left (usually on the skin) by the healing of injured tissue
scat,singing jazz; the singer substitutes nonsense syllables for the words of the song and tries to sound like a musical instrument
scot,a native or inhabitant of Scotland
scow,any of various flat-bottomed boats with sloping ends
scry,divine by gazing into crystals
scud,the act of moving along swiftly (as before a gale)
scum,worthless people
scup,flesh of fish found in colder waters of northern Atlantic coast of the United States
scut,a short erect tail
seal,fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters
seam,joint consisting of a line formed by joining two pieces
sear,make very hot and dry
seat,a space reserved for sitting (as in a theater or on a train or airplane)
sect,a subdivision of a larger religious group
seed,a small hard fruit
seek,the movement of a read/write head to a specific data track on a disk
seel,sew up the eyelids of hawks and falcons
seem,give a certain impression or have a certain outward aspect
seen,perceive by sight or have the power to perceive by sight
seep,pass gradually or leak through or as if through small openings
seer,a person with unusual powers of foresight
self,your consciousness of your own identity
sell,the activity of persuading someone to buy
semi,one of the two competitions in the next to the last round of an elimination tournament
send,cause to go somewhere
sent,100 senti equal 1 kroon in Estonia
seps,the month following August and preceding October
sept,the month following August and preceding October
sera,"an amber, watery fluid, rich in proteins, that separates out when blood coagulates"
serb,a member of a Slavic people who settled in Serbia and neighboring areas in the 6th and 7th centuries
sere,(used especially of vegetation) having lost all moisture
serf,(Middle Ages) a person who is bound to the land and owned by the feudal lord
sess,street names for marijuana
seta,stalk of a moss capsule
seth,(Old Testament) third son of Adam and Eve; given by God in place of the murdered Abel
sett,rectangular paving stone with curved top; once used to make roads
sewn,fasten by sewing; do needlework
sext,the fourth of the seven canonical hours; about noon
sexy,marked by or tending to arouse sexual desire or interest
shad,bony flesh of herring-like fish usually caught during their migration to fresh water for spawning; especially of Atlantic coast
shag,a strong coarse tobacco that has been shredded
shah,title for the former hereditary monarch of Iran
sham,something that is a counterfeit; not what it seems to be
shan,a branch of the Tai languages
shat,give away information about somebody
shaw,United States clarinetist and leader of a swing band (1910-2004)
shay,a carriage consisting of two wheels and a calash top; drawn by a single horse
shed,an outbuilding with a single story; used for shelter or storage
shim,a thin wedge of material (wood or metal or stone) for driving into crevices
shin,the front part of the human leg between the knee and the ankle
ship,a vessel that carries passengers or freight
shiv,a knife used as a weapon
shod,furnish with shoes
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
shoo,drive away by crying `shoo!'
shop,a mercantile establishment for the retail sale of goods or services
shot,the act of firing a projectile
show,the act of publicly exhibiting or entertaining
shun,avoid and stay away from deliberately; stay clear of
shut,move so that an opening or passage is obstructed; make shut
sial,the granitelike rocks that form the outermost layer of the earth's crust; rich in silicon and aluminum
siam,a country of southeastern Asia that extends southward along the Isthmus of Kra to the Malay Peninsula
sick,people who are sick
sida,large genus of tropical subshrubs or herbs some of which yield fibers of mucilaginous substances
side,a place within a region identified relative to a center or reference location
sift,move as if through a sieve
sigh,an utterance made by exhaling audibly
sign,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
sika,small deer of Japan with slightly forked antlers
sikh,an adherent of Sikhism
silk,a fabric made from the fine threads produced by certain insect larvae
sill,structural member consisting of a continuous horizontal timber forming the lowest member of a framework or supporting structure
silo,a cylindrical tower used for storing silage
silt,mud or clay or small rocks deposited by a river or lake
sima,rock that form the continuous lower layer of the earth's crust; rich in silicon and magnesium
sind,a region of southeastern Pakistan
sine,ratio of the length of the side opposite the given angle to the length of the hypotenuse of a right-angled triangle
sing,deliver by singing
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
sion,originally a stronghold captured by David (the 2nd king of the Israelites); above it was built a temple and later the name extended to the whole hill; finally it became a synonym for the city of Jerusalem
sire,a title of address formerly used for a man of rank and authority
sise,the cardinal number that is the sum of five and one
siss,a female person who has the same parents as another person
sita,wife of the Hindu god Rama; regarded as an ideal of womanhood
site,the piece of land on which something is located (or is to be located)
sium,perennial of wet and marshy places in the northern hemisphere: water parsnips
siva,the destroyer; one of the three major divinities in the later Hindu pantheon
size,the physical magnitude of something (how big it is)
sizz,express or utter with a hiss
skag,street names for heroin
skaw,a cape on the northernmost tip of Jutland between the Skagerrak and the Kattegatt
skeg,a brace that extends from the rear of the keel to support the rudderpost
skep,a large round wicker basket (used on farms)
skew,turn or place at an angle
skid,one of a pair of planks used to make a track for rolling or sliding objects
skim,a thin layer covering the surface of a liquid
skin,a natural protective body covering and site of the sense of touch
skip,a gait in which steps and hops alternate
skit,a short theatrical episode
skua,gull-like jaeger of northern seas
slab,block consisting of a thick piece of something
slag,the scum formed by oxidation at the surface of molten metals
slam,winning all or all but one of the tricks in bridge
slap,a blow from a flat object (as an open hand)
slat,a thin strip (wood or metal)
slav,any member of the people of eastern Europe or Asian Russia who speak a Slavonic language
slaw,basically shredded cabbage
slay,kill intentionally and with premeditation
sled,a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
slew,(often followed by `of') a large number or amount or extent
slid,"move obliquely or sideways, usually in an uncontrolled manner"
slim,take off weight
slip,a socially awkward or tactless act
slit,a long narrow opening
slob,a coarse obnoxious person
sloe,wild plum of northeastern United States having dark purple fruits with yellow flesh
slog,work doggedly or persistently
slop,wet feed (especially for pigs) consisting of mostly kitchen waste mixed with water or skimmed or sour milk
slot,a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
slow,lose velocity; move more slowly
slub,soft lump or unevenness in a yarn; either an imperfection or created by design
slue,turn sharply; change direction abruptly
slug,a projectile that is fired from a gun
slum,a district of a city marked by poverty and inferior living conditions
slur,(music) a curved line spanning notes that are to be played legato
slut,a dirty untidy woman
smew,smallest merganser and most expert diver; found in northern Eurasia
smit,"inflict a heavy blow on, with the hand, a tool, or a weapon"
smog,air pollution by a mixture of smoke and fog
smug,marked by excessive complacency or self-satisfaction
smut,a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
snag,a sharp protuberance
snap,the act of catching an object with the hands
snip,a small piece of anything (especially a piece that has been snipped off)
snob,a person regarded as arrogant and annoying
snog,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc."
snot,a person regarded as arrogant and annoying
snow,precipitation falling from clouds in the form of ice crystals
snub,an instance of driving away or warding off
snug,a small secluded room
soak,the process of becoming softened and saturated as a consequence of being immersed in water (or other liquid)
soap,a cleansing agent made from the salts of vegetable or animal fats
soar,the act of rising upward into the air
sock,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
soda,a sodium salt of carbonic acid; used in making soap powders and glass and paper
sofa,an upholstered seat for more than one person
soft,yielding readily to pressure or weight
soho,a district in southwestern Manhattan noted for its shops and restaurants and galleries and artist's lofts
soil,the state of being covered with unclean things
soja,erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia
sold,exchange or deliver for money or its equivalent
sole,the underside of footwear or a golf club
soli,any activity that is performed alone without assistance
solo,any activity that is performed alone without assistance
soma,leafless East Indian vine; its sour milky juice formerly used to make an intoxicating drink
some,quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity
song,a short musical composition with words
sons,a male human offspring
soon,in the near future
soot,a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
soph,a second-year undergraduate
sorb,acid gritty-textured fruit
sore,an open skin infection
sori,a spore-producing structure in certain lichens and fungi
sort,a category of things distinguished by some common characteristic or quality
soss,an internationally recognized distress signal in radio code
sots,a chronic drinker
soul,the immaterial part of a person; the actuating cause of an individual life
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
sour,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
sown,place (seeds) in or on the ground for future growth
soya,erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia
span,the complete duration of something
spar,any of various nonmetallic minerals (calcite or feldspar) that are light in color and transparent or translucent and cleavable
spat,a quarrel about petty points
spay,remove the ovaries of
spec,a detailed description of design criteria for a piece of work
sped,move fast
spew,expel or eject (saliva or phlegm or sputum) from the mouth
spin,a swift whirling motion (usually of a missile)
spit,a narrow strip of land that juts out into the sea
spiv,a person without employment who makes money by various dubious schemes; goes about smartly dressed and having a good time
spot,a point located with respect to surface features of some region
spry,moving quickly and lightly
spud,an edible tuber native to South America; a staple food of Ireland
spun,revolve quickly and repeatedly around one's own axis
spur,a verbalization that encourages you to attempt something
stab,a sudden sharp feeling
stag,"a male deer, especially an adult male red deer"
star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
stay,continuing or remaining in a place or state
stem,(linguistics) the form of a word after all affixes are removed
step,any maneuver made as part of progress toward a goal
stet,"printing: cancel, as of a correction or deletion"
stew,agitation resulting from active worry
stir,a prominent or sensational but short-lived news event
stob,a short straight stick of wood
stop,the event of something ending
stow,fill by packing tightly
stub,a short piece remaining on a trunk or stem where a branch is lost
stud,a man who is virile and sexually active
stun,make senseless or dizzy by or as if by a blow
styx,(Greek mythology) a river in Hades across which Charon carried dead souls
such,of so extreme a degree or extent
suck,the act of sucking
suds,the froth produced by soaps or detergents
suer,a man who courts a woman
suet,hard fat around the kidneys and loins in beef and sheep
sufi,a Muslim who represents the mystical dimension of Islam; a Muslim who seeks direct experience of Allah; mainly in Iran
sugi,tall evergreen of Japan and China yielding valuable soft wood
suit,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
sula,type genus of the Sulidae
sulk,a mood or display of sullen aloofness or withdrawal
sumo,a Japanese form of wrestling; you lose if you are forced out of a small ring or if any part of your body (other than your feet) touches the ground
sump,an oil reservoir in an internal combustion engine
sung,the imperial dynasty of China from 960 to 1279; noted for art and literature and philosophy
sunk,fall or descend to a lower place or level
sura,one of the sections (or chapters) in the Koran
surd,a consonant produced without sound from the vocal cords
sure,having or feeling no doubt or uncertainty; confident and assured
surf,waves breaking on the shore
swab,implement consisting of a small piece of cotton that is used to apply medication or cleanse a wound or obtain a specimen of a secretion
swad,a bunch
swag,valuable goods
swam,travel through water
swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult
swap,an equal exchange
swat,a sharp blow
sway,controlling influence
swig,a large and hurried swallow
swim,the act of swimming; :
swiz,British slang for a swindle
swob,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
swot,an insignificant student who is ridiculed as being affected or boringly studious
swum,travel through water
sync,make synchronous and adjust in time or manner
taal,an official language of the Republic of South Africa; closely related to Dutch and Flemish
tabu,a prejudice (especially in Polynesia and other South Pacific islands) that prohibits the use or mention of something because of its sacred nature
tach,measuring instrument for indicating speed of rotation
tack,the heading or position of a vessel relative to the trim of its sails
tact,consideration in dealing with others and avoiding giving offense
tael,a unit of weight used in east Asia approximately equal to 1.3 ounces
taft,United States sculptor (1860-1936)
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
take,the income or profit arising from such transactions as the sale of land or other property
tala,the basic unit of money in Western Samoa
talc,a fine grained mineral having a soft soapy feel and consisting of hydrated magnesium silicate; used in a variety of products including talcum powder
tale,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
tali,a sloping mass of loose rocks at the base of a cliff
talk,an exchange of ideas via conversation
tall,a garment size for a tall person
tame,correct by punishment or discipline
tamp,"a tool for tamping (e.g., for tamping tobacco into a pipe bowl or a charge into a drill hole etc.)"
tang,a tart spicy quality
tank,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
taos,a member of the Pueblo people living in northern New Mexico
tapa,the thin fibrous bark of the paper mulberry and Pipturus albidus
tape,a long thin piece of cloth or paper as used for binding or fastening
taps,(military) signal to turn the lights out
tara,a village in eastern Ireland (northwest of Dublin); seat of Irish kings until 6th century
tare,an adjustment made for the weight of the packaging in order to determine the net weight of the goods
tarn,a mountain lake (especially one formed by glaciers)
taro,edible starchy tuberous root of taro plants
tarp,waterproofed canvas
tars,any of various dark heavy viscid substances obtained as a residue
tart,a woman who engages in sexual intercourse for money
task,any piece of work that is undertaken or attempted
tate,United States poet and critic (1899-1979)
tatu,about three feet long exclusive of tail
taut,pulled or drawn tight
taws,the 23rd letter of the Hebrew alphabet
taxi,a car driven by a person whose job is to take passengers where they want to go in exchange for money
teak,hard strong durable yellowish-brown wood of teak trees; resistant to insects and to warping; used for furniture and in shipbuilding
teal,a blue-green color or pigment
team,a cooperative unit (especially in sports)
tear,a drop of the clear salty saline solution secreted by the lacrimal glands
teat,the small projection of a mammary gland
tech,a school teaching mechanical and industrial arts and the applied sciences
teem,"be teeming, be abuzz"
teen,a juvenile between the onset of puberty and maturity
teff,an African grass economically important as a cereal grass (yielding white flour of good quality) as well as for forage and hay
teju,large (to 3 feet) blackish yellow-banded South American lizard; raid henhouses; used as food
tell,a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
temp,a worker (especially in an office) hired on a temporary basis
tend,have a tendency or disposition to do or be something; be inclined
tent,a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
tera,a three-tone Chadic language
term,a word or expression used for some particular thing
tern,small slender gull having narrow wings and a forked tail
test,trying something to find out about it
teth,the 9th letter of the Hebrew alphabet
text,the words of something written
thai,a native or inhabitant of Thailand
than,
that,
thaw,the process whereby heat changes something from a solid to a liquid
thea,(Greek mythology) the Titaness who was mother of Helios and Selene and Eos in ancient mythology
them,
then,that time; that moment
they,
thin,lose thickness; become thin or thinner
this,
thos,a branch of the Tai languages
thou,the cardinal number that is the product of 10 and 100
thud,a heavy dull sound (as made by impact of heavy objects)
thug,an aggressive and violent young criminal
thus,an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation
tick,a metallic tapping sound
tide,the periodic rise and fall of the sea level under the gravitational pull of the moon
tidy,receptacle that holds odds and ends (as sewing materials)
tied,"fasten or secure with a rope, string, or cord"
tier,a relative position or degree of value in a graded group
tiff,a quarrel about petty points
tile,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
till,unstratified soil deposited by a glacier; consists of sand and clay and gravel and boulders mixed together
tilt,a combat between two mounted knights tilting against each other with blunted lances
time,an instance or single occasion for some event
tine,prong on a fork or pitchfork or antler
ting,a light clear metallic sound as of a small bell
tink,make or emit a high sound
tint,a quality of a given color that differs slightly from another color
tiny,very small
tire,hoop that covers a wheel
titi,tree of low-lying coastal areas of southeastern United States having glossy leaves and racemes of fragrant white flowers
toad,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
toby,a drinking mug in the shape of a stout man wearing a three-cornered hat
toda,a member of a pastoral people living in the Nilgiri Hills of southern India
todd,Scottish chemist noted for his research into the structure of nucleic acids (born in 1907)
tody,tiny insectivorous West Indian bird having red-and-green plumage and a long straight bill
toed,walk so that the toes assume an indicated position or direction
toff,informal term for an upper-class or wealthy person
tofu,cheeselike food made of curdled soybean milk
toga,a one-piece cloak worn by men in ancient Rome
togs,informal terms for clothing
toil,productive work (especially physical work done for wages)
toke,a puff of a marijuana or hashish cigarette
told,express in words
tole,enameled or lacquered metalware (usually gilded and elaborately painted); popular in the 18th century
toll,a fee levied for the use of roads or bridges (used for maintenance)
tolu,aromatic yellowish brown balsam from the tolu balsam tree used especially in cough syrups
tomb,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
tome,a (usually) large and scholarly book
tone,the quality of a person's voice
took,carry out
tool,an implement used in the practice of a vocation
toon,a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
toot,a blast of a horn
tope,a dome-shaped shrine erected by Buddhists
topi,a lightweight hat worn in tropical countries for protection from the sun
tops,the upper part of anything
tore,commonly the lowest molding at the base of a column
torn,separate or cause to separate abruptly
tort,(law) any wrongdoing for which an action for damages may be brought
tory,an American who favored the British side during the American Revolution
tosh,pretentious or silly talk or writing
tosk,the dialect of Albanian spoken in southern Albania and in areas of Greece and Italy
toss,the act of flipping a coin
tote,a capacious bag or basket
tour,a journey or route all the way around a particular place or area
tout,someone who buys tickets to an event in order to resell them at a profit
town,an urban area with a fixed boundary that is smaller than a city
tram,a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers
trap,a device in which something (usually an animal) can be caught and penned
tray,an open receptacle for holding or displaying or serving articles or food
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
tref,not conforming to dietary laws
trek,a journey by ox wagon (especially an organized migration by a group of settlers)
trey,the cardinal number that is the sum of one and one and one
trig,the mathematics of triangles and trigonometric functions
trim,a state of arrangement or appearance
trio,the cardinal number that is the sum of one and one and one
trip,a journey for some purpose (usually including the return)
trod,"put down or press the foot, place the foot"
trot,a slow pace of running
troy,a system of weights used for precious metals and gemstones; based on a 12-ounce pound and an ounce of 480 grains
true,proper alignment; the property possessed by something that is in correct or proper alignment
tsar,a male monarch or emperor (especially of Russia prior to 1917)
tuba,the lowest brass wind instrument
tube,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
tuck,eatables (especially sweets)
tufa,a soft porous rock consisting of calcium carbonate deposited from springs rich in lime
tuff,hard volcanic rock composed of compacted volcanic ash
tuft,a bunch of hair or feathers or growing grass
tulu,a member of a Dravidian people living on the southwestern coast of India
tuna,tropical American prickly pear of Jamaica
tune,a succession of notes forming a distinctive sequence
tung,Chinese tree bearing seeds that yield tung oil
tupi,a member of the South American Indian people living in Brazil and Paraguay
turd,obscene terms for feces
turf,surface layer of ground containing a mat of grass and grass roots
turk,a native or inhabitant of Turkey
turn,a circular segment of a curve
turp,removal of significant amounts of prostate tissue (as in cases of benign prostatic hyperplasia)
tush,the fleshy part of the human body that you sit on
tusk,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
tuts,"utter `tsk,' `tut,' or `tut-tut,' as in disapproval"
tutu,South African prelate and leader of the antiapartheid struggle (born in 1931)
twat,a man who is a stupid incompetent fool
twee,affectedly dainty or refined
twig,a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year
twin,either of two offspring born at the same time from the same pregnancy
twit,someone who is regarded as contemptible
tyke,a native of Yorkshire
type,a subdivision of a particular kind of thing
typo,a mistake in printed matter resulting from mechanical failures of some kind
tyre,a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks
tyro,someone new to a field or activity
tyrr,(Norse mythology) god of war and strife and son of Odin; identified with Anglo-Saxon Tiu
tyto,type and only genus of the family Tytonidae
ugly,displeasing to the senses
ulex,genus of Eurasian spiny shrubs: gorse
ulna,the inner and longer of the two bones of the human forearm
ulva,type genus of the family Ulvaceae; green seaweed having a thallus two cells thick: sea lettuce
umbo,a slight rounded elevation where the malleus attaches to the eardrum
unau,a sloth of Central America that has two long claws on each forefoot and three long claws on each hindfoot
unci,(biology) any hook-shaped process or part
unco,to a remarkable degree or extent
undo,"cancel, annul, or reverse an action or its effect"
unio,type genus of the family Unionidae
unit,any division of quantity accepted as a standard of measurement or exchange
urdu,"the official literary language of Pakistan, closely related to Hindi; widely used in India (mostly by Moslems); written in Arabic script"
urea,the chief solid component of mammalian urine; synthesized from ammonia and carbon dioxide and used as fertilizer and in animal feed and in plastics
urge,an instinctive motive
uria,murres
uric,in or relating to or obtained from urine
urus,large recently extinct long-horned European wild ox; considered one of the ancestors of domestic cattle
used,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
user,a person who makes use of a thing; someone who uses or employs something
utah,a state in the western United States; settled in 1847 by Mormons led by Brigham Young
utas,a reptile genus of Iguanidae
uvea,the part of the eye that contains the iris and ciliary body and choroid
vain,characteristic of false pride; having an exaggerated sense of self-importance
vale,a long depression in the surface of the land that usually contains a river
vali,(Norse mythology) one of the Aesir and avenger of Balder; son of Odin
vamp,a seductive woman who uses her sex appeal to exploit men
vane,mechanical device attached to an elevated structure; rotates freely to show the direction of the wind
vara,a Spanish unit of length (about a yard) having different values in different localities
vary,"become different in some particular way, without permanently losing one's or its former characteristics or essence"
vasa,a tube in which a body fluid circulates
vase,an open jar of glass or porcelain used as an ornament or to hold flowers
vast,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
vayu,Hindu wind god
veal,meat from a calf
veda,"(from the Sanskrit word for `knowledge') any of the most ancient sacred writings of Hinduism written in early Sanskrit; traditionally believed to comprise the Samhitas, the Brahmanas, the Aranyakas, and the Upanishads"
veer,turn sharply; change direction abruptly
vega,prolific Spanish playwright (1562-1635)
veil,a garment that covers the head and face
vein,a blood vessel that carries blood from the capillaries toward the heart
vela,a constellation in the southern hemisphere between Carina and Pyxis
vend,sell or offer for sale from place to place
vent,a hole for the escape of gas or air
veps,a member of a Finnish people of Russia
verb,the word class that serves as the predicate of a sentence
very,precisely as stated
vest,a man's sleeveless garment worn underneath a coat
veto,a vote that blocks a decision
vial,a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
vice,moral weakness
vier,denoting a quantity consisting of six items or units
view,a way of regarding situations or topics etc.
vila,capital of Vanuatu
vile,morally reprehensible
vine,"a plant with a weak stem that derives support from climbing, twining, or creeping along a surface"
vino,fermented juice (of grapes especially)
viol,any of a family of bowed stringed instruments that preceded the violin family
visa,an endorsement made in a passport that allows the bearer to enter the country issuing it
vise,a holding device attached to a workbench; has two jaws to hold workpiece firmly in place
viva,an examination conducted by spoken communication
void,the state of nonexistence
